Epoch 805, Avg Loss: 12.9811
Epoch 810, Avg Loss: 11.7816
Epoch 815, Avg Loss: 12.6042
Epoch 820, Avg Loss: 13.2078
Epoch 825, Avg Loss: 11.5631
Epoch 830, Avg Loss: 12.9444
Epoch 835, Avg Loss: 12.1393
Epoch 840, Avg Loss: 13.471
Epoch 845, Avg Loss: 13.4024
Epoch 850, Avg Loss: 12.5046
Epoch 855, Avg Loss: 12.2446
Epoch 860, Avg Loss: 12.0927
Epoch 865, Avg Loss: 10.9494
Epoch 870, Avg Loss: 12.3823
Epoch 875, Avg Loss: 11.9088
Epoch 880, Avg Loss: 11.7514
Epoch 885, Avg Loss: 12.4332
Epoch 890, Avg Loss: 13.4155
Epoch 895, Avg Loss: 11.322
Epoch 900, Avg Loss: 11.6722
Epoch 905, Avg Loss: 11.4865
Epoch 910, Avg Loss: 12.9281
Epoch 915, Avg Loss: 12.9972
Epoch 920, Avg Loss: 11.3593
Epoch 925, Avg Loss: 12.6429
Epoch 930, Avg Loss: 11.7454
Epoch 935, Avg Loss: 12.9055
Epoch 940, Avg Loss: 11.3247
Epoch 945, Avg Loss: 11.5178
Epoch 950, Avg Loss: 11.5823
Epoch 955, Avg Loss: 11.8193
Epoch 960, Avg Loss: 11.6131
Epoch 965, Avg Loss: 11.4794
Epoch 970, Avg Loss: 11.9116
Epoch 975, Avg Loss: 13.1783
Epoch 980, Avg Loss: 12.074
Epoch 985, Avg Loss: 11.5697
Epoch 990, Avg Loss: 11.2143
Epoch 995, Avg Loss: 11.0583
Epoch 1000, Avg Loss: 11.1573
